id=384  property=dbp:birthDate  object=c.  NumberOfEntitiesFoundForObject=14
provincial-JJ  multiply=0.017308  P(provincial|object)=0.3  P(object|provincial)=0.057692    Lift=0.005769 {Confidence word=0.015291 object=0.079511 =0.004587 Lift=3.773077}
current-JJ  multiply=0.016981  P(current|object)=0.3  P(object|current)=0.056604    Lift=0.00566 {Confidence word=0.015291 object=0.08104 =0.004587 Lift=3.701887}
liberal-JJ  multiply=0.015789  P(liberal|object)=0.3  P(object|liberal)=0.052632    Lift=0.005263 {Confidence word=0.015291 object=0.087156 =0.004587 Lift=3.442105}
member-NN  multiply=0.012371  P(member|object)=0.6  P(object|member)=0.020619    Lift=0.002062 {Confidence word=0.015291 object=0.444954 =0.009174 Lift=1.348454}
election-NN  multiply=0.011348  P(election|object)=0.4  P(object|election)=0.028369    Lift=0.002837 {Confidence word=0.015291 object=0.215596 =0.006116 Lift=1.855319}
community-NN  multiply=0.011111  P(community|object)=0.2  P(object|community)=0.055556    Lift=0.005556 {Confidence word=0.015291 object=0.055046 =0.003058 Lift=3.633333}
councillor-NN  multiply=0.010256  P(councillor|object)=0.2  P(object|councillor)=0.051282    Lift=0.005128 {Confidence word=0.015291 object=0.059633 =0.003058 Lift=3.353846}
constituency-NN  multiply=0.010256  P(constituency|object)=0.2  P(object|constituency)=0.051282    Lift=0.005128 {Confidence word=0.015291 object=0.059633 =0.003058 Lift=3.353846}

id=388  property=dbp:birthDate  object=1956  NumberOfEntitiesFoundForObject=11
current-JJ  multiply=0.027444  P(current|object)=0.363636  P(object|current)=0.075472    Lift=0.006861 {Confidence word=0.01682 object=0.08104 =0.006116 Lift=4.487136}
state-NN  multiply=0.020327  P(state|object)=0.545455  P(object|state)=0.037267    Lift=0.003388 {Confidence word=0.01682 object=0.246177 =0.009174 Lift=2.215697}
president-NN  multiply=0.01581  P(president|object)=0.363636  P(object|president)=0.043478    Lift=0.003953 {Confidence word=0.01682 object=0.140673 =0.006116 Lift=2.58498}
district-NN  multiply=0.013223  P(district|object)=0.363636  P(object|district)=0.036364    Lift=0.003306 {Confidence word=0.01682 object=0.168196 =0.006116 Lift=2.161983}
attorney-NN  multiply=0.011364  P(attorney|object)=0.181818  P(object|attorney)=0.0625    Lift=0.005682 {Confidence word=0.01682 object=0.04893 =0.003058 Lift=3.715909}
american-JJ  multiply=0.01049  P(american|object)=0.272727  P(object|american)=0.038462    Lift=0.003497 {Confidence word=0.01682 object=0.119266 =0.004587 Lift=2.286713}
part-NN  multiply=0.010331  P(part|object)=0.454545  P(object|part)=0.022727    Lift=0.002066 {Confidence word=0.01682 object=0.336391 =0.007645 Lift=1.35124}
community-NN  multiply=0.010101  P(community|object)=0.181818  P(object|community)=0.055556    Lift=0.005051 {Confidence word=0.01682 object=0.055046 =0.003058 Lift=3.30303}

