id=497  property=dbo:profession  object=http://dbpedia.org/resource/Diplomat  NumberOfEntitiesFoundForObject=11
diplomat-NN  multiply=0.909091  P(diplomat|object)=0.909091  P(object|diplomat)=1.0    Lift=0.082645 {Confidence word=0.041667 object=0.038194 =0.038194 Lift=24.0}
moldovan-JJ  multiply=0.181818  P(moldovan|object)=0.454545  P(object|moldovan)=0.4    Lift=0.030303 {Confidence word=0.041667 object=0.052083 =0.020833 Lift=9.6}

id=498  property=dbo:profession  object=http://dbpedia.org/resource/Lawyer  NumberOfEntitiesFoundForObject=30
lawyer-NN  multiply=0.3125  P(lawyer|object)=0.333333  P(object|lawyer)=0.9375    Lift=0.020833 {Confidence word=0.131944 object=0.055556 =0.052083 Lift=7.105263}
law-NN  multiply=0.244444  P(law|object)=0.566667  P(object|law)=0.431373    Lift=0.011111 {Confidence word=0.131944 object=0.177083 =0.076389 Lift=3.26935}
attorney-NN  multiply=0.243478  P(attorney|object)=0.4  P(object|attorney)=0.608696    Lift=0.017391 {Confidence word=0.131944 object=0.079861 =0.048611 Lift=4.613272}
american-JJ  multiply=0.100775  P(american|object)=0.333333  P(object|american)=0.302326    Lift=0.007752 {Confidence word=0.131944 object=0.149306 =0.045139 Lift=2.29131}
election-NN  multiply=0.09589  P(election|object)=0.466667  P(object|election)=0.205479    Lift=0.006393 {Confidence word=0.131944 object=0.253472 =0.052083 Lift=1.557318}
son-NN  multiply=0.095671  P(son|object)=0.433333  P(object|son)=0.220779    Lift=0.005628 {Confidence word=0.131944 object=0.267361 =0.059028 Lift=1.673274}
general-JJ  multiply=0.090058  P(general|object)=0.366667  P(object|general)=0.245614    Lift=0.006433 {Confidence word=0.131944 object=0.197917 =0.048611 Lift=1.861496}
state-NN  multiply=0.080189  P(state|object)=0.5  P(object|state)=0.160377    Lift=0.004717 {Confidence word=0.131944 object=0.368056 =0.059028 Lift=1.215492}
member-NN  multiply=0.068376  P(member|object)=0.533333  P(object|member)=0.128205    Lift=0.003419 {Confidence word=0.131944 object=0.541667 =0.069444 Lift=0.97166}
district-NN  multiply=0.068293  P(district|object)=0.4  P(object|district)=0.170732    Lift=0.004878 {Confidence word=0.131944 object=0.284722 =0.048611 Lift=1.293967}
democratic-JJ  multiply=0.067797  P(democratic|object)=0.333333  P(object|democratic)=0.20339    Lift=0.00565 {Confidence word=0.131944 object=0.204861 =0.041667 Lift=1.541481}
former-JJ  multiply=0.059361  P(former|object)=0.333333  P(object|former)=0.178082    Lift=0.004566 {Confidence word=0.131944 object=0.253472 =0.045139 Lift=1.349676}
republican-JJ  multiply=0.057143  P(republican|object)=0.266667  P(object|republican)=0.214286    Lift=0.006349 {Confidence word=0.131944 object=0.145833 =0.03125 Lift=1.62406}
first-JJ  multiply=0.040678  P(first|object)=0.266667  P(object|first)=0.152542    Lift=0.00452 {Confidence word=0.131944 object=0.204861 =0.03125 Lift=1.156111}
