id=1 property=dbo:party object=http://dbpedia.org/resource/Australian_Labor_Party
age-NN multiply=0.0424876847 P(age|object)=0.375 P(object|age)=0.1133004926 
constituency-NN multiply=0.0372393247 P(constituency|object)=0.3289473684 P(object|constituency)=0.1132075472 
trade-NN multiply=0.0367910066 P(trade|object)=0.1578947368 P(object|trade)=0.2330097087 
death-NN multiply=0.0364603639 P(death|object)=0.2203947368 P(object|death)=0.1654320988 
conservative-JJ multiply=0.0357016638 P(conservative|object)=0.3355263158 P(object|conservative)=0.1064049587 
secretary-NN multiply=0.0349330859 P(secretary|object)=0.2302631579 P(object|secretary)=0.1517094017 
council-NN multiply=0.0317973534 P(council|object)=0.3552631579 P(object|council)=0.0895036615 
councillor-NN multiply=0.0273532389 P(councillor|object)=0.1513157895 P(object|councillor)=0.1807692308 
candidate-NN multiply=0.0207226355 P(candidate|object)=0.25 P(object|candidate)=0.082890542 

id=8 property=dbo:party object=http://dbpedia.org/resource/Democratic_Party_(United_States)
american-JJ multiply=0.3091566741 P(american|object)=0.5460526316 P(object|american)=0.5661664393 
democratic-JJ multiply=0.25354968 P(democratic|object)=0.5302631579 P(object|democratic)=0.4781582054 
district-NN multiply=0.13192045 P(district|object)=0.5210526316 P(object|district)=0.2531806616 
state-NN multiply=0.1240148892 P(state|object)=0.4973684211 P(object|state)=0.2493421053 
term-NN multiply=0.0772379667 P(term|object)=0.2657894737 P(object|term)=0.2905982906 
city-NN multiply=0.0685313879 P(city|object)=0.2671052632 P(object|city)=0.2565707134 
mayor-NN multiply=0.0596269154 P(mayor|object)=0.2355263158 P(object|mayor)=0.253164557 
member-NN multiply=0.045019198 P(member|object)=0.525 P(object|member)=0.0857508532 
current-JJ multiply=0.044410368 P(current|object)=0.1763157895 P(object|current)=0.2518796992 
first-JJ multiply=0.0338565713 P(first|object)=0.2302631579 P(object|first)=0.1470342523 
part-NN multiply=0.0320613453 P(part|object)=0.3565789474 P(object|part)=0.0899137359 
primary-JJ multiply=0.0305401662 P(primary|object)=0.0828947368 P(object|primary)=0.3684210526 
law-NN multiply=0.030484807 P(law|object)=0.1618421053 P(object|law)=0.1883614089 
governor-NN multiply=0.0292542126 P(governor|object)=0.0986842105 P(object|governor)=0.2964426877 
former-JJ multiply=0.0271230695 P(former|object)=0.2328947368 P(object|former)=0.1164606376 
new-JJ multiply=0.0257399063 P(new|object)=0.2223684211 P(object|new)=0.1157534247 
son-NN multiply=0.0253972195 P(son|object)=0.2447368421 P(object|son)=0.1037735849 
president-NN multiply=0.0253572901 P(president|object)=0.1592105263 P(object|president)=0.1592689295 
year-NN multiply=0.0241949446 P(year|object)=0.1697368421 P(object|year)=0.1425438596 
office-NN multiply=0.0240577029 P(office|object)=0.1552631579 P(object|office)=0.1549479167 
council-NN multiply=0.0228202218 P(council|object)=0.1907894737 P(object|council)=0.1196094386 
attorney-NN multiply=0.0224494887 P(attorney|object)=0.0789473684 P(object|attorney)=0.2843601896 
public-JJ multiply=0.0224213785 P(public|object)=0.1684210526 P(object|public)=0.133126935 

id=9 property=dbo:party object=http://dbpedia.org/resource/Indian_National_Congress
indian-JJ multiply=0.6747822459 P(indian|object)=0.8975468975 P(object|indian)=0.7518072289 
sabha-NN multiply=0.3030866703 P(sabha|object)=0.4083694084 P(object|sabha)=0.7421875 
constituency-NN multiply=0.296816268 P(constituency|object)=0.6204906205 P(object|constituency)=0.4783573807 
lok-NN multiply=0.2460658864 P(lok|object)=0.3347763348 P(object|lok)=0.7350157729 
candidate-NN multiply=0.0901776226 P(candidate|object)=0.3492063492 P(object|candidate)=0.2582359192 
member-NN multiply=0.0784982935 P(member|object)=0.7272727273 P(object|member)=0.1079351536 
legislative-JJ multiply=0.054857358 P(legislative|object)=0.4372294372 P(object|legislative)=0.1254658385 
former-JJ multiply=0.0522897907 P(former|object)=0.3405483405 P(object|former)=0.1535458686 
assembly-NN multiply=0.0515564439 P(assembly|object)=0.4646464646 P(object|assembly)=0.1109584335 
election-NN multiply=0.0458392679 P(election|object)=0.404040404 P(object|election)=0.113452188 
14th-JJ multiply=0.0447637469 P(14th|object)=0.0779220779 P(object|14th)=0.5744680851 
minister-NN multiply=0.0427105613 P(minister|object)=0.2784992785 P(object|minister)=0.1533596838 
parliament-NN multiply=0.032289207 P(parliament|object)=0.2554112554 P(object|parliament)=0.1264204545 
part-NN multiply=0.0259912616 P(part|object)=0.3347763348 P(object|part)=0.0776376908 
party-NN multiply=0.0242803496 P(party|object)=0.3044733045 P(object|party)=0.0797454137 
mla-NN multiply=0.022986273 P(mla|object)=0.101010101 P(object|mla)=0.2275641026 
political-JJ multiply=0.0204040016 P(political|object)=0.1471861472 P(object|political)=0.1386271871 
state-NN multiply=0.0200975925 P(state|object)=0.2092352092 P(object|state)=0.0960526316 

