id=42  property=dbo:occupation  object=http://dbpedia.org/resource/Actress  NumberOfEntitiesFoundForObject=42
drama-NN  multiply=0.121875  P(drama|object)=0.375  P(object|drama)=0.325    Lift=0.004687 {Confidence word=0.260546 object=0.198511 =0.064516 Lift=1.247381}
son-NN  multiply=0.121711  P(son|object)=0.375  P(object|son)=0.324561    Lift=0.003289 {Confidence word=0.260546 object=0.282878 =0.091811 Lift=1.245698}
british-JJ  multiply=0.12037  P(british|object)=0.40625  P(object|british)=0.296296    Lift=0.002508 {Confidence word=0.260546 object=0.401985 =0.119107 Lift=1.137213}
appearance-NN  multiply=0.115809  P(appearance|object)=0.375  P(object|appearance)=0.308824    Lift=0.005515 {Confidence word=0.260546 object=0.168734 =0.052109 Lift=1.185294}
age-NN  multiply=0.102954  P(age|object)=0.40625  P(object|age)=0.253425    Lift=0.002783 {Confidence word=0.260546 object=0.362283 =0.091811 Lift=0.972668}
english-JJ  multiply=0.101434  P(english|object)=0.375  P(object|english)=0.270492    Lift=0.003074 {Confidence word=0.260546 object=0.30273 =0.081886 Lift=1.038173}
part-NN  multiply=0.099206  P(part|object)=0.25  P(object|part)=0.396825    Lift=0.003968 {Confidence word=0.260546 object=0.156328 =0.062035 Lift=1.523054}
series-NN  multiply=0.098286  P(series|object)=0.40625  P(object|series)=0.241935    Lift=0.003276 {Confidence word=0.260546 object=0.307692 =0.074442 Lift=0.928571}
character-NN  multiply=0.074292  P(character|object)=0.28125  P(object|character)=0.264151    Lift=0.005307 {Confidence word=0.260546 object=0.131514 =0.034739 Lift=1.013836}
early-JJ  multiply=0.069444  P(early|object)=0.1875  P(object|early)=0.37037    Lift=0.006944 {Confidence word=0.260546 object=0.066998 =0.024814 Lift=1.421517}
several-JJ  multiply=0.066106  P(several|object)=0.15625  P(object|several)=0.423077    Lift=0.00601 {Confidence word=0.260546 object=0.064516 =0.027295 Lift=1.62381}
theatre-NN  multiply=0.06516  P(theatre|object)=0.21875  P(object|theatre)=0.297872    Lift=0.002327 {Confidence word=0.260546 object=0.233251 =0.069479 Lift=1.143262}
